SCHOOL_YEAR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2007-2008,STATE,,,,,,,,,,96184,82.13,10.59
2007-2008,STATE,,,,,,,,,N,93018,82.59,9.99
2007-2008,STATE,,,,,,,,,Y,3166,68.76,28.14
2007-2008,STATE,,,,,,,,N,,74901,85.39,8.73
2007-2008,STATE,,,,,,,,N,N,73259,85.8,8.25
2007-2008,STATE,,,,,,,,N,Y,1642,67.05,30.09
2007-2008,STATE,,,,,,,,Y,,21283,70.66,17.12
2007-2008,STATE,,,,,,,,Y,N,19759,70.66,16.43
2007-2008,STATE,,,,,,,,Y,Y,1524,70.6,26.05
2007-2008,STATE,,,,,,,N,,,85274,82.24,10.18
2007-2008,STATE,,,,,,,N,,N,82406,82.74,9.52
2007-2008,STATE,,,,,,,N,,Y,2868,67.89,28.97
2007-2008,STATE,,,,,,,N,N,,67544,85.65,8.31
2007-2008,STATE,,,,,,,N,N,N,66024,86.09,7.79
2007-2008,STATE,,,,,,,N,N,Y,1520,66.51,30.66
2007-2008,STATE,,,,,,,N,Y,,17730,69.23,17.31
2007-2008,STATE,,,,,,,N,Y,N,16382,69.22,16.51
2007-2008,STATE,,,,,,,N,Y,Y,1348,69.44,27.08
2007-2008,STATE,,,,,,,Y,,,10910,81.3,13.79
2007-2008,STATE,,,,,,,Y,,N,10612,81.42,13.61
2007-2008,STATE,,,,,,,Y,,Y,298,77.18,20.13
2007-2008,STATE,,,,,,,Y,N,,7357,83.01,12.63
2007-2008,STATE,,,,,,,Y,N,N,7235,83.17,12.45
2007-2008,STATE,,,,,,,Y,N,Y,122,73.77,22.95
2007-2008,STATE,,,,,,,Y,Y,,3553,77.77,16.18
2007-2008,STATE,,,,,,,Y,Y,N,3377,77.67,16.08
2007-2008,STATE,,,,,,,Y,Y,Y,176,79.55,18.18
2007-2008,STATE,,,,,,0,,,,1155,83.38,9
2007-2008,STATE,,,,,,0,,,N,1117,83.44,8.68
2007-2008,STATE,,,,,,0,,,Y,38,81.58,18.42
2007-2008,STATE,,,,,,0,,N,,968,85.95,7.13
2007-2008,STATE,,,,,,0,,N,N,944,86.12,6.78
2007-2008,STATE,,,,,,0,,N,Y,24,79.17,20.83
